time	low	high	open	close	volume
1497931200	362.78	365.13	364.28	364.56	14770.34
1497934800	363.24	364.9	364.56	363.51	9021.42
1497938400	362.5	364.8	363.51	364.74	7318.76
1497942000	362.12	364.98	364.74	362.62	7598.78
1497945600	362.32	363.52	362.62	363.39	6602.25
1497949200	361.33	363.55	363.39	361.52	8513.96
1497952800	361.06	362.1	361.52	361.71	8704.07
1497956400	361.49	363.07	361.71	362.85	8266.47
1497960000	362.51	365.22	362.85	362.62	14440.17
1497963600	359.82	364.58	362.62	363.89	16953.38
1497967200	363.36	364.98	363.89	364.05	13273.34
1497970800	362.87	364.91	364.05	364.19	15979.05
1497974400	362.4	364.27	364.19	363.36	14557.04
1497978000	354.4	363.74	363.36	356.49	36387.48
1497981600	323.69	357.31	356.49	342.87	138123.96
1497985200	341.51	354.5	342.87	345.98	48048.93
1497988800	337.64	346.91	345.98	343.01	36937.78
1497992400	342.46	353.38	343.01	349.6	42923.54
1497996000	349.55	354.52	349.6	351.14	24742.29
1497999600	345.51	351.17	351.14	350.53	26929.42
1498003200	348.56	352.47	350.53	352.47	20057.07
1498006800	347.02	352.83	352.47	348.3	19756.49
1498010400	343.39	349.44	348.3	343.96	17957.17
1498014000	336.63	344.94	343.96	340.9	32216.15
1498017600	336.34	342.3	340.9	342.06	23138.82
1498021200	334.87	342.45	342.06	335.55	15528.35
1498024800	328.75	338.04	335.55	337.88	35374.35
1498028400	336.18	338.82	337.88	336.56	19772.09
1498032000	334.79	337.15	336.56	335.3	13316.0
1498035600	326.37	335.87	335.3	327.99	24765.69
1498039200	327.87	335.19	327.99	331.65	25993.43
1498042800	329.67	334.15	331.65	332.36	19546.57
1498046400	332.36	338.23	332.36	337.67	25396.1
1498050000	333.48	338.21	337.67	333.67	24843.37
1498053600	318.63	334.8	333.67	320.95	58134.58
1498057200	309.63	322.48	320.95	316.71	73497.28
1498060800	314.31	320.51	316.71	319.55	38794.09
1498064400	302.35	320.2	319.55	305.16	72626.41
1498068000	304.72	321.79	305.16	317.21	66880.46
1498071600	138.5	318.71	317.21	302.58	172209.23
1498075200	293.08	304.12	302.58	296.58	48099.94
1498078800	296.5	307.97	296.58	301.91	42041.72
1498082400	298.01	313.61	301.91	311.69	24755.53
1498086000	299.03	326.9	311.69	325.3	63693.86
1498089600	325.07	333.4	325.3	328.68	36076.89
1498093200	313.47	329.13	328.68	318.73	36042.49
1498096800	316.95	325.49	318.73	322.52	21086.75
1498100400	315.39	322.52	322.52	315.39	14334.0
1498104000	308.21	315.39	315.39	313.42	30316.45
1498107600	313.42	319.98	313.42	318.01	14346.78
1498111200	315.76	319.48	318.01	319.22	13173.27
1498114800	313.84	319.42	319.22	314.08	14618.23
1498118400	312.64	316.12	314.08	316.04	11618.48
1498122000	315.71	320.48	316.04	320.2	8898.09
1498125600	320.13	323.8	320.2	323.44	11129.17
1498129200	321.75	326.95	323.44	326.52	12365.11
1498132800	322.24	328.39	326.52	322.59	16271.56
1498136400	321.91	327.92	322.59	327.72	16369.99
1498140000	325.15	328.18	327.72	326.43	16394.75
1498143600	326.14	329.64	326.43	327.08	21058.51
1498147200	326.46	329.61	327.08	329.56	18363.51
1498150800	326.76	330.28	329.56	327.55	21423.14
1498154400	322.62	327.81	327.55	322.63	15955.97
1498158000	317.96	322.74	322.63	320.88	34706.53
